Nom de la gare,Code UIC complet,Code postal,Segmentation DRG 2021,Total Voyageurs 2020,Total Voyageurs + Non voyageurs 2020,Total Voyageurs 2019,Total Voyageurs + Non voyageurs 2019,Total Voyageurs 2018,Total Voyageurs + Non voyageurs 2018,Total Voyageurs 2017,Total Voyageurs + Non voyageurs 2017,Total Voyageurs 2016,Total Voyageurs + Non voyageurs 2016,Total Voyageurs 2015,Total Voyageurs + Non voyageurs 2015
Nurieux-Volognat,87743351,1760,C,9901,9901,20701,20701,18300,18300,22712,22712,23201,23201,24107,24107
Oloron-Sainte-Marie,87672725,64400,C,60818,76022,98363,122954,76510,95638,93277,116596,93239,116549,93882,117353
Onville,87192435,54890,C,4173,4173,5287,5287,5740,5740,8123,8123,8982,8982,11298,11298
Orléans,87543009,45000,A,2071845,2589806,3417122,4271403,3436479,4295598,3680857,4601071,3407093,4258867,3557414,4446767
Ouges,87712604,21600,C,7286,7286,14461,14461,11913,11913,13018,13018,11390,11390,8819,8819
Oyonnax,87743534,1100,C,81885,102357,102677,128347,89149,111436,93231,116539,98712,123391,103838,129797
Pagny-sur-Meuse,87175828,55190,C,3509,3509,4708,4708,3520,3520,2801,2801,2931,2931,3962,3962
Paray-le-Monial,87694687,71600,B,156383,195478,150991,188739,116990,146238,123040,153800,121900,152375,137357,171696
Parc des Expositions,87271486,93420,B,1526202,1526202,2790979,2790979,2749960,2749960,2734326,2734326,2661353,2661353,2582285,2582285
Paris Bercy Bourgogne - Pays d'Auvergne,87686667,75012,A,2498330,2592964,4318464,4482042,3983108,4133983,4003278,4154918,3702383,3842624,3823448,3968276
Paris Gare de Lyon,87686006,75012,A,63133340,76201376,112644337,135350774,111226947,133161056,113962625,136934490,111664289,133991028,111506043,134173424
Parsac - Gouzon,87597724,23140,C,241,241,343,343,177,177,233,233,344,344,231,231
Pau,87672006,64000,A,621116,776395,837523,1046903,725078,906347,830486,1038108,760097,950121,806310,1007888
Penhoët,87321745,44600,C,39787,39787,50651,50651,33875,33875,34382,34382,34666,34666,30736,30736
Penne-d'Agenais,87586438,47140,C,10037,10037,17528,17528,16672,16672,17974,17974,18351,18351,19069,19069
Persan - Beaumont,87276469,95340,B,2248982,2248982,4112008,4112008,4071799,4071799,3932743,3932743,3707776,3707776,3487981,3487981
Pertuis,87751362,84120,,5067,5067,9661,9661,16784,16784,53695,53695,51534,51534,51241,51241
Picquigny,87313106,80310,C,58943,58943,67126,67126,63106,63106,66180,66180,70002,70002,70293,70293
Pierre-Bénite,87722231,69310,C,26703,26703,45505,45505,30102,30102,30331,30331,25258,25258,31180,31180
Pierrelatte,87764308,26700,B,187033,233791,287040,358800,258083,322604,284941,356177,262644,328305,286326,357908
Pierreville,87141556,54160,C,181,181,0,0,0,0,270,270,1000,1000,1906,1906
Planès,87784785,66210,C,310,310,388,388,419,419,469,469,644,644,638,638
Pleudihen-sur-Rance,87478149,22690,C,1007,1007,835,835,1157,1157,1538,1538,2380,2380,1588,1588
Plouharnel - Carnac,87476416,56340,C,4877,4877,5478,5478,4199,4199,3127,3127,3714,3714,2590,2590
Plounérin,87473199,22780,C,345,345,1281,1281,888,888,817,817,588,588,620,620
Poliénas,87761742,38210,C,24212,24212,32826,32826,28145,28145,32515,32515,27218,27218,23765,23765
Pont Cardinet,87381111,75017,B,3696493,3696493,6759706,6759706,6103661,6103661,5633400,5633400,5161047,5161047,3511372,3511372
Pont de Dore,87734459,63920,C,37081,37081,58791,58791,55333,55333,64852,64852,64099,64099,68005,68005
Pontchâteau,87481846,44160,B,105595,131994,202871,253589,212620,265775,226241,282801,233789,292236,234195,292744
Pont-d'Ain,87743120,1160,C,19543,19543,26296,26296,21678,21678,26249,26249,24673,24673,24354,24354
Pont-de-Veyle,87725804,1290,C,33863,33863,43215,43215,38597,38597,43783,43783,42216,42216,47317,47317
Pont-du-Casse,87586404,47480,C,360,360,711,711,573,573,451,451,292,292,237,237
Pontmort,87734103,63200,C,12565,12565,17357,17357,16232,16232,21981,21981,24978,24978,25693,25693
Pontoise,87276139,95300,B,4350282,4350282,7951035,7951035,8172721,8172721,8065338,8065338,7866331,7866331,7392889,7392889
Pont-Remy,87313130,80580,C,11473,11473,16813,16813,14120,14120,17400,17400,17224,17224,17444,17444
Port-Brillet,87478750,53410,C,24133,24133,51913,51913,59807,59807,65049,65049,62147,62147,61758,61758
Port-la-Nouvelle,87781062,11210,C,70509,70509,83628,83628,71159,71159,87075,87075,78634,78634,74666,74666
Pouilly-sur-Loire,87696179,58150,C,8191,8191,10479,10479,7249,7249,7458,7458,6802,6802,10062,10062
Pouxeux,87144428,88550,C,10604,10604,13399,13399,10635,10635,12728,12728,7487,7487,5278,5278
Quédillac,87473058,35290,C,16478,16478,15811,15811,14362,14362,10624,10624,7876,7876,9223,9223
Questembert,87476671,56230,B,122833,153542,161690,202112,130897,163621,119824,149780,107051,133813,110266,137833
Raedersheim,87182717,68190,C,34582,34582,52673,52673,46533,46533,48062,48062,45192,45192,43876,43876
Rai - Aube,87444620,61270,C,0,0,5,5,0,0,25,25,29,29,34,34
Raismes,87343319,59590,C,30960,30960,47322,47322,42094,42094,43713,43713,39930,39930,37624,37624
Ranspach,87182402,68470,C,18331,18331,18981,18981,19487,19487,22046,22046,23264,23264,22381,22381
Razac-sur-l'Isle,87595223,24430,C,3803,3803,5446,5446,2851,2851,3667,3667,4646,4646,6424,6424
Réding,87215079,57444,C,44147,44147,59618,59618,50947,50947,43273,43273,33727,33727,33952,33952
Redon,87471300,35600,B,454586,568232,740222,925278,723108,903885,802461,1003076,817109,1021386,811897,1014871
Régny,87721050,42630,C,32098,32098,36415,36415,39049,39049,40143,40143,28205,28205,30071,30071
Remise à Jorelle,87988709,93140,B,265429,265429,485311,485311,532143,532143,580626,580626,623148,623148,666150,666150
Retiers,87471359,35240,C,29121,29121,38366,38366,38574,38574,43416,43416,75620,75620,89786,89786
Revigny-sur-Ornain,87175018,55800,C,90024,90024,89991,89991,78841,78841,87446,87446,90608,90608,99365,99365
